municipality,state,city
Gardendale city,AL,Gardendale
Gaylesville town,AL,Gaylesville
Geiger town,AL,Geiger
Geneva city,AL,Geneva
Georgiana town,AL,Georgiana
Geraldine town,AL,Geraldine
Gilbertown town,AL,Gilbertown
Glen Allen town,AL,Glen Allen
Glencoe city,AL,Glencoe
Glenwood town,AL,Glenwood
Goldville town,AL,Goldville
Good Hope city,AL,Good Hope
Goodwater town,AL,Goodwater
Gordo town,AL,Gordo
Gordon town,AL,Gordon
Gordonville town,AL,Gordonville
Goshen town,AL,Goshen
Graham CDP,AL,Graham
Grand Bay CDP,AL,Grand Bay
Grant town,AL,Grant
Grayson Valley CDP,AL,Grayson Valley
Graysville city,AL,Graysville
Greensboro city,AL,Greensboro
Greenville city,AL,Greenville
Grimes town,AL,Grimes
Grove Hill town,AL,Grove Hill
Guin city,AL,Guin
Gulfcrest CDP,AL,Gulfcrest
Gulf Shores city,AL,Gulf Shores
Guntersville city,AL,Guntersville
Gurley town,AL,Gurley
Gu-Win town,AL,Gu-Win
Hackleburg town,AL,Hackleburg
Hackneyville CDP,AL,Hackneyville
Haleburg town,AL,Haleburg
Haleyville city,AL,Haleyville
Hamilton city,AL,Hamilton
Hammondville town,AL,Hammondville
Hanceville city,AL,Hanceville
Hanover CDP,AL,Hanover
Harpersville town,AL,Harpersville
Hartford city,AL,Hartford
Hartselle city,AL,Hartselle
Harvest CDP,AL,Harvest
Hatton CDP,AL,Hatton
Hayden town,AL,Hayden
Hayneville town,AL,Hayneville
Hazel Green CDP,AL,Hazel Green
Headland city,AL,Headland
Heath town,AL,Heath
Heflin city,AL,Heflin
Helena city,AL,Helena
Henagar city,AL,Henagar
Highland Lake town,AL,Highland Lake
Highland Lakes CDP,AL,Highland Lakes
Hillsboro town,AL,Hillsboro
Hissop CDP,AL,Hissop
Hobson CDP,AL,Hobson
Hobson City town,AL,Hobson City
Hodges town,AL,Hodges
Hokes Bluff city,AL,Hokes Bluff
Hollins CDP,AL,Hollins
Hollis Crossroads CDP,AL,Hollis Crossroads
Holly Pond town,AL,Holly Pond
Hollywood town,AL,Hollywood
Holt CDP,AL,Holt
Holtville CDP,AL,Holtville
Homewood city,AL,Homewood
Hoover city,AL,Hoover
Horn Hill town,AL,Horn Hill
Hueytown city,AL,Hueytown
Huguley CDP,AL,Huguley
Huntsville city,AL,Huntsville
Hurtsboro town,AL,Hurtsboro
Hytop town,AL,Hytop
Ider town,AL,Ider
Indian Springs Village city,AL,Indian Springs Village
Irondale city,AL,Irondale
Ivalee CDP,AL,Ivalee
Jackson city,AL,Jackson
Jacksons' Gap town,AL,Jacksons' Gap
Jacksonville city,AL,Jacksonville
Jasper city,AL,Jasper
Jemison city,AL,Jemison
Joppa CDP,AL,Joppa
Kansas town,AL,Kansas
Kellyton town,AL,Kellyton
Kennedy town,AL,Kennedy
Killen town,AL,Killen
Kimberly city,AL,Kimberly
Kinsey town,AL,Kinsey
Kinston town,AL,Kinston
Ladonia CDP,AL,Ladonia
La Fayette city,AL,La Fayette
Lakeview town,AL,Lakeview
Lake View town,AL,Lake View
Lanett city,AL,Lanett
Langston town,AL,Langston
Leeds city,AL,Leeds
Leesburg town,AL,Leesburg
Leighton town,AL,Leighton
Leroy CDP,AL,Leroy
Lester town,AL,Lester
Level Plains town,AL,Level Plains
Lexington town,AL,Lexington
Libertyville town,AL,Libertyville
Lillian CDP,AL,Lillian
Lincoln city,AL,Lincoln
Linden city,AL,Linden
Lineville city,AL,Lineville
Lipscomb city,AL,Lipscomb
Lisman town,AL,Lisman
Littleville town,AL,Littleville
Livingston city,AL,Livingston
Loachapoka town,AL,Loachapoka
Lockhart town,AL,Lockhart
Locust Fork town,AL,Locust Fork
Lookout Mountain CDP,AL,Lookout Mountain
Louisville town,AL,Louisville
Lowndesboro town,AL,Lowndesboro
Loxley town,AL,Loxley
Luverne city,AL,Luverne
Lynn town,AL,Lynn
McCalla CDP,AL,McCalla
McDonald Chapel CDP,AL,McDonald Chapel
Macedonia CDP,AL,Macedonia
McIntosh town,AL,McIntosh
McKenzie town,AL,McKenzie
McMullen town,AL,McMullen
Madison city,AL,Madison
Madrid town,AL,Madrid
Magnolia Springs town,AL,Magnolia Springs
Malcolm CDP,AL,Malcolm
Malvern town,AL,Malvern
Maplesville town,AL,Maplesville
Marbury CDP,AL,Marbury
Margaret town,AL,Margaret
Marion city,AL,Marion
Maytown town,AL,Maytown
Meadowbrook CDP,AL,Meadowbrook
Megargel CDP,AL,Megargel
Memphis town,AL,Memphis
Mentone town,AL,Mentone
Meridianville CDP,AL,Meridianville
Midfield city,AL,Midfield
Midland City town,AL,Midland City
Midway town,AL,Midway
Mignon CDP,AL,Mignon
Millbrook city,AL,Millbrook
Millerville CDP,AL,Millerville
Millport town,AL,Millport
Millry town,AL,Millry
Minor CDP,AL,Minor
